Sample,LabID,Sample.ID,Genetic.Sex,Individual.ID,Pod,Region,MiSeq.run,Population,year,month,day,latitudeN,longitudeW,dom.sp,prey50
52358-35_S65,52358-35,NGOS_2021_30a,Female,FAIL,ARKW,Kenai Fjord,2021P1,ARKW,2021,6,4,59.787,149.535,chinook,chinook
52332-24_S14,52332-24,NGOS_2019_11,Male,ARKW_02,ARKW,Kenai Fjord,2021P1,ARKW,2019,5,26,59.78,149.537,chinook,chinook
52357-5_S20,52357-05,NGOS_2020_04,Male,ARKW_49,ARKW,Kenai Fjord,2021P1,ARKW,2020,5,27,59.785,149.538,chinook,chinook
52357-5-dup_S75,52357-05,NGOS_2020_04,Male,ARKW_49,ARKW,Kenai Fjord,2021P1,ARKW,2020,5,27,59.785,149.538,chinook,chinook
52358-18_S52,52358-18,NGOS_2021_25,Male,ARKW_24,ARKW,Kenai Fjord,2021P1,ARKW,2021,5,28,59.783,149.538,chinook,chinook
52332-3_S1,52332-03,NGOS_2019_03,Male,FAIL,ARKW,Kenai Fjord,2021P1,ARKW,2019,5,24,59.783,149.54,chinook,chinook
52357-4_S19,52357-04,NGOS_2020_03,Female,ARKW_47,ARKW,Kenai Fjord,2021P1,ARKW,2020,5,27,59.785,149.54,chinook,chinook
52358-11_S48,52358-11,NGOS_2021_20,Female,ARKW_39,ARKW,Kenai Fjord,2021P1,ARKW,2021,5,25,59.783,149.54,chinook,chinook
52358-23_S56,52358-23,NGOS_2021_22,Female,ARKW_16,ARKW,Kenai Fjord,2021P1,ARKW,2021,5,27,59.783,149.54,chinook,chinook
52332-11_S9,52332-11,NGOS_2019_04,Female,FAIL,unknown,Kenai Fjord,2021P1,ARKW,2019,5,24,59.783,149.542,chinook,chinook
52332-5_S3,52332-05,NGOS_2019_05,Undetermined,FAIL,ARKW,Kenai Fjord,2021P1,ARKW,2019,5,24,59.783,149.542,chinook,chinook
52332-6_S4,52332-06,NGOS_2019_06,Undetermined,FAIL,ARKW,Kenai Fjord,2021P1,ARKW,2019,5,24,59.783,149.545,chinook,chinook
52332-10_S8,52332-10,NGOS_2019_21B,Female,FAIL,unknown,Kenai Fjord,2021P1,ARKW,2019,6,3,59.783,149.547,chinook,chinook
52332-18_S12,52332-18,NGOS_2019_21,Female,ARKW_31,ARKW,Kenai Fjord,2021P1,ARKW,2019,6,3,59.783,149.547,chinook,chinook
52332-7_S5,52332-07,NGOS_2019_14,Female,ARKW_58,ARKW,Kenai Fjord,2021P1,ARKW,2019,6,1,59.783,149.547,chinook,chinook
52332-4_S2,52332-04,NGOS_2019_02,Female,ARKW_31,ARKW,Kenai Fjord,2021P1,ARKW,2019,5,24,59.783,149.548,chinook,chinook
52358-32_S62,52358-32,NGOS_2021_21,Male,ARKW_02,ARKW,Kenai Fjord,2021P1,ARKW,2021,5,26,59.782,149.55,chinook,chinook
52358-17_S51,52358-17,NGOS_2021_26,Male,ARKW_24,ARKW,Kenai Fjord,2021P1,ARKW,2021,5,28,59.785,149.56,chinook,chinook
52358-33_S63,52358-33,NGOS_2021_02,Female,ARKW_56,ARKW,Kenai Fjord,2021P1,ARKW,2021,5,17,59.78,149.56,chinook,chinook
51530-037_S5,51530-037,NGOS_2018_09,Male,ARKW_02,ARKW,Kenai Fjord,2019,ARKW,2018,5,29,59.848,149.562,chum,chum
51530-038_S15,51530-038,NGOS_2018_10,Male,ARKW_02,ARKW,Kenai Fjord,2019,ARKW,2018,5,29,59.848,149.562,chum,chum
52358-7_S44,52358-07,NGOS_2021_31a,Male,ARKW_66,ARKW,Kenai Fjord,2021P1,ARKW,2021,6,4,59.797,149.563,chum,chum
52357-2_S18,52357-02,NGOS_2020_08,Female,FAIL,ARKW,Kenai Fjord,2021P1,ARKW,2020,5,28,59.777,149.567,chinook,chinook
52358-42_S70,52358-42,NGOS_2021_27b,Female,ARKW_58,ARKW,Kenai Fjord,2021P1,ARKW,2021,6,4,59.79,149.567,chinook,chinook
52358-43_S71,52358-43,NGOS_2021_27a,Female,ARKW_58,ARKW,Kenai Fjord,2021P1,ARKW,2021,6,4,59.79,149.567,chinook,chinook
NGOS-2016-2_S56,51530-003,NGOS-2016-2,Undetermined,ARKW_02,ARKW,Kenai Fjord,2018,ARKW,2016,6,6,59.78,149.57,chinook,chinook
NGOS-2017-KF5_S23,51530-015,NGOS-2017-KF5,Male,ARKW_10,ARKW,Kenai Fjord,2018,ARKW,2017,6,1,59.695,149.57,chum,chum
52357-8_S21,52357-08,NGOS_2020_11,Female,ARKW_50,ARKW,Kenai Fjord,2021P1,ARKW,2020,5,30,59.813,149.572,chinook,chinook
52358-25_S57,52358-25,NGOS_2021_19,Male,ARKW_54,ARKW,Kenai Fjord,2021P1,ARKW,2021,5,25,59.783,149.572,chinook,chinook
52358-39_S67,52358-39,NGOS_2021_05,Female,ARKW_18,ARKW,Kenai Fjord,2021P1,ARKW,2021,5,18,59.772,149.578,chinook,chinook
52358-41_S69,52358-41,NGOS_2021_04,Male,ARKW_54,ARKW,Kenai Fjord,2021P1,ARKW,2021,5,18,59.772,149.58,chinook,chinook
NGOS-2016-1a_S39,51530-001,NGOS-2016-1a,Female,ARKW_01,ARKW,Kenai Fjord,2018,ARKW,2016,6,6,59.78,149.58,chinook,chinook
NGOS-2016-1b_S48,51530-002,NGOS-2016-1b,Undetermined,ARKW_01,ARKW,Kenai Fjord,2018,ARKW,2016,6,6,59.78,149.58,chinook,chinook
51530-033_S48,51530-033,NGOS_2018_06a,Male,ARKW_22,ARKW,Kenai Fjord,2019,ARKW,2018,5,26,59.781,149.582,chum,chum
51530-034_S59,51530-034,NGOS_2018_06b,Male,ARKW_22,ARKW,Kenai Fjord,2019,ARKW,2018,5,26,59.781,149.582,chum,chum
52358-21_S54,52358-21,NGOS_2021_09,Female,ARKW_18,ARKW,Kenai Fjord,2021P1,ARKW,2021,5,18,59.78,149.582,chinook,chinook
52358-40_S68,52358-40,NGOS_2021_03,Female,ARKW_23,ARKW,Kenai Fjord,2021P1,ARKW,2021,5,17,59.783,149.582,chinook,chinook
52358-31_S61,52358-31,NGOS_2021_08,Female,ARKW_18,ARKW,Kenai Fjord,2021P1,ARKW,2021,5,18,59.777,149.583,chinook,chinook
52358-1_S38,52358-01,NGOS_2021_06,Undetermined,ARKW_18,ARKW,Kenai Fjord,2021P1,ARKW,2021,5,18,59.778,149.585,chinook,chinook
52358-10_S47,52358-10,NGOS_2021_07,Female,ARKW_18,ARKW,Kenai Fjord,2021P1,ARKW,2021,5,18,59.777,149.585,chinook,chinook
52358-29_S60,52358-29,NGOS_2021_12,Female,ARKW_23,ARKW,Kenai Fjord,2021P1,ARKW,2021,5,22,59.778,149.585,chinook,chinook
NGOS-2017-KF2_S65,51530-012,NGOS-2017-KF2,Undetermined,ARKW_07,ARKW,Kenai Fjord,2018,ARKW,2017,5,30,59.78,149.585,chinook,chinook
52332-27_S16,52332-27,NGOS_2019_12,Male,ARKW_22,ARKW,Kenai Fjord,2021P1,ARKW,2019,5,28,59.788,149.587,chinook,chinook
52358-30_S77,52358-30,NGOS_2021_10,Female,ARKW_39,ARKW,Kenai Fjord,2021P1,ARKW,2021,5,22,59.795,149.59,chinook,chinook
52358-45_S1,52358-45,NGOS_2021_16,Male,ARKW_54,ARKW,Kenai Fjord,2021P2,ARKW,2021,5,25,59.807,149.593,chinook,chinook
52358-44_S72,52358-44,NGOS_2021_11,Female,ARKW_23,ARKW,Kenai Fjord,2021P1,ARKW,2021,5,22,59.805,149.595,chinook,chinook
52358-46_S2,52358-46,NGOS_2021_32,Female,ARKW_59,ARKW,Kenai Fjord,2021P2,ARKW,2021,6,4,59.808,149.595,chinook,chinook
52358-6_S43,52358-06,NGOS_2021_33,Female,ARKW_20,ARKW,Kenai Fjord,2021P1,ARKW,2021,6,5,59.7,149.6,chinook,chinook
52332-15_10,52332-15,NGOS_2019_13b,Male,FAIL,unknown,Kenai Fjord,2021P1,ARKW,2019,5,28,59.812,149.603,NA,None
52357-31_S31,52357-31,NGOS_2020_18,Male,ARKW_15,ARKW,Kenai Fjord,2021P1,ARKW,2020,6,9,59.62,149.62,chum,chum
52332-9_S7,52332-09,NGOS_2019_23,Female,ARKW_61,ARKW,Kenai Fjord,2021P1,ARKW,2019,6,9,59.675,149.628,chinook,chinook
NGOS-2017-KF7_S32,51530-017,NGOS-2017-KF7,Female,ARKW_08,ARKW,Kenai Fjord,2018,ARKW,2017,6,1,59.693,149.629,chinook,chinook
52358-28_S59,52358-28,NGOS_2021_34,Female,ARKW_55,ARKW,Kenai Fjord,2021P1,ARKW,2021,6,5,59.697,149.632,NA,None
NGOS-2017-KF8_S41,51530-018,NGOS-2017-KF8,Male,ARKW_10,ARKW,Kenai Fjord,2018,ARKW,2017,6,1,59.667,149.632,chum,chum
52358-49_S18,52358-49,NGOS_2021_50a,Female,ARKW_61,ARKW,Kenai Fjord,2021P2,ARKW,2021,7,8,59.598,149.67,chum,None
51530-043_S70,51530-043,NGOS_2018_15,Male,ARKW_03,ARKW,Kenai Fjord,2019,ARKW,2018,5,29,59.877,149.877,chum,chum
2011Feb09-02_S47,50592-002,2011Feb09-02,unknown,not run,unknown,WA,2016,SRKW,2011,2,9,47.728993,122.443604,chinook,chinook
2011Feb09-03_S48,50592-003,2011Feb09-03,unknown,not run,unknown,WA,2016,SRKW,2011,2,9,47.728993,122.443604,chinook,chinook
2011Feb10-02_S49,50592-006,2011Feb10-02,unknown,not run,unknown,WA,2016,SRKW,2011,2,10,47.89592,122.62933,chinook,chinook
2011Feb10-b_S50,50592-007,2011FEB10-03B,unknown,fail,unknown,WA,2016,SRKW,2011,2,10,47.849831,122.447571,chinook,chinook
2011Feb11-01_S51,50592-008,2011FEB10-01,Female,J22,J,WA,2016,SRKW,2011,2,11,47.849831,122.447571,chinook,chinook
2014APR14-01_S17,52196-013,2014APR14-01,Female,K27,K,WA,2016,SRKW,2014,4,14,47.849831,122.447571,chinook,chinook
2014JAN18-01_S5,52196-016,2014JAN18-01,Male,J45,J,WA,2016,SRKW,2014,1,18,47.849831,122.447571,chum,chum
2014JAN18-02_S6,52196-017,2014JAN18-02,Female,J22,J,WA,2016,SRKW,2014,1,18,47.849831,122.447571,chinook,chinook
2014JAN18-03_S7,52196-018,2014JAN18-03,Female,J28,J,WA,2016,SRKW,2014,1,18,47.849831,122.447571,chinook,chinook
2014JAN18-03-reex_S30,52196-018,2014JAN18-03,Female,J28,J,WA,2016,SRKW,2014,1,18,47.849831,122.447571,chinook,chinook
2014JAN18-04_S8,52196-019,2014JAN18-04,Female,NA,NA,WA,2016,SRKW,2014,1,18,47.849831,122.447571,chum,None
2014JAN18-04-reex_S27,52196-019,2014JAN18-04,Female,NA,NA,WA,2016,SRKW,2014,1,18,47.849831,122.447571,chum,None
2014JAN18-05_S9,52196-020,2014JAN18-05,Male,J47,J,WA,2016,SRKW,2014,1,18,47.849831,122.447571,chum,chum
